topic,argument,summary,stance,ibm_pro_deb_qs
abortion,A woman also has the right to decide what happens to her body.,Abortion is a womans right.,1,0.8611624836921692
abortion,its also the mother's choice,Abortion is a womans right.,1,0.4970937371253967
abortion,A woman can abort for whatever reason she likes,Abortion is a womans right.,1,0.6269456148147583
abortion,Because if a child is going to make her life more awful than what she's already experienced she has the choice to not go through that.,Abortion is a womans right.,1,0.6885218620300293
abortion,"And don't call me a hypocrite, because I still believe the woman has the right to abort under those circumstances.",Abortion is a womans right.,1,0.6749863028526306
abortion,"If someone is using your body as a life support machine, don't you think you should have the right to decide if they continue to do so?",Abortion is a womans right.,1,0.8354325294494629
abortion,"Even if that person is your own offspring, even if that person is a completely self-aware adult, your body should not be used for anything against your ongoing permission.",Abortion is a womans right.,1,0.7322784066200256
abortion,Should women who don't want kids have them anyway out of guilt for people who can't?,Abortion is a womans right.,1,0.5267679691314697
abortion,I don't believe anyone should be  forced  to have an abortion it's their  choice .,Abortion is a womans right.,1,0.6718391180038452
abortion,"'It's up to you, it's your choice",Abortion is a womans right.,1,0.4285824596881866
abortion,if abortion was not possible at all meaning whether illegal or not just not physically possible then i bet a lot of the women who desperately need them would kill themselves.,Abortion is a womans right.,1,0.7550275921821594
abortion,"abortion is and always be the woman's choice because it is her body, and not the government's, God's, The Church's or her significant other's.",Abortion is a womans right.,1,0.8127638101577759
abortion,it just means women getting the procedure in other ways that are often dangerous.,Abortion is a womans right.,1,0.5925843119621277
abortion,If a mother wants to get pregnant and then abort it is her right to do so.,Abortion is a womans right.,1,0.8362985253334045
abortion,"abortion is and always was the personal choice of the mother, since it is her body, and rationality dictates that an adult mind ought to have priority when compared to a developing mind.",Abortion is a womans right.,1,0.9145663380622864
abortion,Abortion should be legal as it is the mother's decision to kill said baby,Abortion is a womans right.,1,0.8209308385848999
abortion,shouldn't people be able to have a choice in how to deal with such a life-altering event?,Abortion is a womans right.,1,0.7708203196525574
abortion,"People do need to be careful and do need to be held accountable for their actions, but accidents happen",Abortion is a womans right.,1,0.7338372468948364
abortion,It should be everyone's right to have an abortion because people should have the right to self determination when no other moral agent will be harmed by such actions.,Abortion is a womans right.,1,0.9396123290061952
abortion,"Sure a fetus could be a person, but the mother is already a person and her wants and needs outweigh a possible person.",Abortion is a womans right.,1,0.6356227397918701
abortion,I am pro-choice because i don't think it is just to force someone into those statistics.,Abortion is a womans right.,1,0.5509213805198669
abortion,A young mother that is duped and lied to by some swaggering Lothario that walks out and leaves her with the child.,Abortion is a womans right.,1,0.4734974503517151
abortion,The bodily autonomy of the woman  is  infringed upon  if  she doesn't want the fetus to continue using her as a host and she is forbidden from seeking an abortion.,Abortion is a womans right.,1,0.889227569103241
abortion,"don't care what gender you are, what I do with my body is none of your business.",Abortion is a womans right.,1,0.5211976170539856
abortion,the fetus is simply a part of the mother's body and she can have an abortion because it is her human rights.,Abortion is a womans right.,1,0.8436402082443237
abortion,"It's about freedom - a woman's freedom to control her own body, and a couple's freedom to decide when is a good time to bring a child into the world.",Abortion is a womans right.,1,0.8426633477210999
abortion,shit happens..it's your choice,Abortion is a womans right.,1,0.3207161724567413
abortion,"If the mother wants an abortion bad enough she shall get the fetus out any way possible, but if it were illegal she would be going into dark alleys to get it done.",Abortion is a womans right.,1,0.7639442086219788
abortion,"She has control of HER body, not the fetuses.",Abortion is a womans right.,1,0.6886842846870422
abortion,She has a right to stop their use.,Abortion is a womans right.,1,0.6354753971099854
abortion,Bottom line is; its the peoples choice not the governments.,Abortion is a womans right.,1,0.4760862290859222
abortion,"it should be entirely the mother's choice, not society's.",Abortion is a womans right.,1,0.6667097806930542
abortion,"Abortion is the woman's right, as much has I disagree with it.",Abortion is a womans right.,1,0.6048028469085693
abortion,It is a choice of those women who cannot take responsibility for children because of some reasons.,Abortion is a womans right.,1,0.7832772135734558
abortion,It is a choice.,Abortion is a womans right.,1,0.5072672963142395
abortion,"But if woman decided not to have a child, it is not wrong.",Abortion is a womans right.,1,0.513124942779541
abortion,"i believe people should have the choice to do it or not, i may not agree with it in many cases, but my beliefs and morals shouldn't effect someone else's, as i may not know the full story.",Abortion is a womans right.,1,0.6900376677513123
abortion,"""Back alley"" abortions would increase if it were made illegal, leading to increased risk of young women dying or becoming sterile.",Abortion is a womans right.,1,0.9088966250419616
abortion,You can't just take away her right to choose because  you  think it is wrong.,Abortion is a womans right.,1,0.6579181551933289
abortion,"It is the woman's body, therefore it should be her choice",Abortion is a womans right.,1,0.7557037472724915
abortion,"If abortion was illegal, illegal abortions would be extremely dangerous.",Abortion is a womans right.,1,0.8854876160621643
abortion,"However, I do believe it should be the woman's choice since the fetus is not born yet.",Abortion is a womans right.,1,0.535994291305542
abortion,It really is the mother's decision.,Abortion is a womans right.,1,0.5350744128227234
abortion,"With this being true, how can you deny the victim/mother-to-be the right to make choices concerning her own body if it is not her fault in the first place?",Abortion is a womans right.,1,0.7063016295433044
abortion,it's the woman's decision,Abortion is a womans right.,1,0.5461821556091309
abortion,I believe woman have the right to abortion,Abortion is a womans right.,1,0.5560590028762817
abortion,"The issue of abortion is not properly about the fetus (unless you are arguing about the 3rd trimester, which no one is), it is properly about the rights of the mother since she is the only person who has any justified claim to sovereignty of her body.",Abortion is a womans right.,1,0.7644659876823425
abortion,abortion should be a womans choice.,Abortion is a womans right.,1,0.8239356279373169
abortion,"If you do not wish to bear a child for 9 months and give birth to it and be responsible for it, then you should have every right to terminate the pregnancy",Abortion is a womans right.,1,0.8601690530776978
abortion,"Therefore, taking a woman's right to choice is wrong regardless what a church or the government suggests.",Abortion is a womans right.,1,0.8368337154388428
abortion,If abortion is outlawed women will be forced to go to back-alley abortion clinics,Abortion is a womans right.,1,0.8263277411460876
abortion,A woman should be able to control her own body,Abortion is a womans right.,1,0.7258409857749939
abortion,"So instead of a legal procedure, being conducted in a safe environment, we're going to end up with a bunch of illegal abortions, in unsafe and unregulated environments.",Abortion is a womans right.,1,0.848058819770813
abortion,Does she not have the right to disconnect it if she feels she is not up to going through with it?,Abortion is a womans right.,1,0.601377546787262
abortion,A women has a right to not have her body used by someone else.,Abortion is a womans right.,1,0.7349263429641724
abortion,"But if at the time, she really didn't want to have me, then I say it's her choice.",Abortion is a womans right.,1,0.4328417778015136
abortion,"Abortion rates does not change massively when it is outlawed, all that happens is they do it illegally and unsafely.",Abortion is a womans right.,1,0.8268131613731384
abortion,It is a woman's choice wither or not to have a baby.,Abortion is a womans right.,1,0.7746081948280334
abortion,Why would you impose upon women the inability to remove foetuses that aren't individuals?,Abortion is a womans right.,1,0.6469030976295471
abortion,But people should have the right to make the choices that affect their life.,Abortion is a womans right.,1,0.8013656139373779
abortion,People should have the choice to keep their baby or not.,Abortion is a womans right.,1,0.7735660672187805
abortion,"if woman became pregnant accidentally, she should go through with that pregnancy  just  to hand it over to someone else?",Abortion is a womans right.,1,0.5627421736717224
abortion,human beings are given the right to kill others.,Abortion is a womans right.,1,0.687952995300293
abortion,"I wouldn't want the burden of raising a child I can't raise, and I wouldn't want anyone to force me or anyone else to",Abortion is a womans right.,1,0.7118560671806335
abortion,I think abortion is an option that should always be kept open.,Abortion is a womans right.,1,0.5135484933853149
abortion,"What is more important is that abortion is the choice of the woman, because she has the child.",Abortion is a womans right.,1,0.7440499067306519
abortion,"A fetus is like a parasite, should a mother have no choice?",Abortion is a womans right.,1,0.5878978967666626
abortion,"Making abortions illegal  has  been shown to force rape victims and young girls, many of whom are practically babies themselves, to seek dangerous means for having an abortion, resulting in more deaths.",Abortion is a womans right.,1,0.9705485105514526
abortion,"if women want an abortion they should be allowed,it's their baby",Abortion is a womans right.,1,0.7535685896873474
abortion,The mother has a choice because: 1) Pregnancy is a pain in the ass 2) Childbirth is dangerous and 3) If she goes through with the pregnancy she will have a human being she will be obligated to care for.,Abortion is a womans right.,1,0.8402699828147888
abortion,"If a woman were to be forced to endure a pregnancy based on what someone else think she should do with her body, I am sure the mental toll would also be enormous.",Abortion is a womans right.,1,0.843315064907074
abortion,"When she is prevented from dealing with her body as she sees fit, her rights to her own body are being infringed upon.",Abortion is a womans right.,1,0.8760221600532532
abortion,If we take that girls right away to choose for herself girls will be choosing life because they were forced to not because they chose that it was the right thing to do.,Abortion is a womans right.,1,0.5008848309516907
abortion,you can be pro-life but also believe people have the right to choose.,Abortion is a womans right.,1,0.6533238887786865
abortion,it should be up to the mother or father to decide what they would like to do with their unborn child,Abortion is a womans right.,1,0.6842026710510254
abortion,it is also the mother's choice.,Abortion is a womans right.,1,0.5561688542366028
abortion,"A woman has rights to her own body, as do men to their own.",Abortion is a womans right.,1,0.8280611634254456
abortion,Women's rights to their very own bodies should not be violated because of less open minds.,Abortion is a womans right.,1,0.8300115466117859
abortion,"Women who don't want to or can't carry a child to term will be forced to go to back alley doctors to perform the abortion (or perhaps worse, try to do it themselves) and those unqualified doctors' abortions could lead to their own death in addition to the fetus'.",Abortion is a womans right.,1,0.8952853679656982
abortion,"But up until that point, I believe the mother has a right to terminate the pregnancy.",Abortion is a womans right.,1,0.6429306864738464
abortion,women have the right to their own body and if a baby needs to be terminated then so be it.,Abortion is a womans right.,1,0.8648071885108948
abortion,Especially if the baby wasn't wanted or was a mistake.,Abortion is a womans right.,1,0.6044567823410034
abortion,people should be free to get abortions if they want to,Abortion is a womans right.,1,0.6994946002960205
abortion,It's a womans' rights issue because to be a part of a free society means having ownership and jurisprudence over your own body.,Abortion is a womans right.,1,0.8279072642326355
abortion,everybody should have the rights to decide on whether they want to keep a child or not.,Abortion is a womans right.,1,0.8882546424865723
abortion,parents should have the power to make the decision themselves and not face any legal hindrance of any form.,Abortion is a womans right.,1,0.9651718735694884
abortion,"a young couple having made a mistake,",Abortion is a womans right.,1,0.4958741068840027
abortion,Even discounting these things it's still a woman's choice,Abortion is a womans right.,1,0.5660125017166138
abortion,"If, according to an above poster, it is the woman's fault, then it of course is also the woman's choice.",Abortion is a womans right.,1,0.5294255614280701
abortion,What I do with my body doesn't affect the quality of their lives.,Abortion is a womans right.,1,0.7186424732208252
abortion,its ok to abort an unborn child because it is the parents decision to do so.,Abortion is a womans right.,1,0.7311224341392517
abortion,if a girl gets raped and becomes pregnant does she really want to carry that man's child?,Rape victims need it to be legal.,1,0.6407621502876282
abortion,"BUT, then the issue of rape comes into play.",Rape victims need it to be legal.,1,0.5547186136245728
abortion,When a woman has been raped and impregnated she doesn't deserve to have the choice?,Rape victims need it to be legal.,1,0.7378675937652588
abortion,Just imagine that a little girl was violenced by maniac and what must she do?,Rape victims need it to be legal.,1,0.3610226213932037
abortion,"So a thirteen year old girl gets raped, and you're saying that the govenrment have the right to force that girl to keep her unwanted baby?",Rape victims need it to be legal.,1,0.5018972754478455
abortion,what about those who are raped and unfortunate with a baby of that specific person.,Rape victims need it to be legal.,1,0.5133881568908691
abortion,It's simply being humane to rape-victims,Rape victims need it to be legal.,1,0.6176120638847351
abortion,I think if you get raped and you get pregnant.,Rape victims need it to be legal.,1,0.3415888547897339
abortion,"As for rape and incest, I don't know if I will ever believe that abortion shouldn't be allowed in those cases.",Rape victims need it to be legal.,1,0.698742151260376
abortion,where rape is a contributing factor to where I would support a woman’s decision if she where to not go through with the pregnancy.,Rape victims need it to be legal.,1,0.5909635424613953
abortion,"In the case of rape or incest, forcing a woman made pregnant by this violent act would cause further psychological harm to the victim.",Rape victims need it to be legal.,1,0.9056915640830994
abortion,What if the woman in question was a victim of rape or incest?,Rape victims need it to be legal.,1,0.6870731711387634
abortion,"If a woman had been raped and got pregnant as a result of that, she has all the right to abort if she wants to.",Rape victims need it to be legal.,1,0.8660844564437866
abortion,"I don't think raped women should be forced to have their babies, if they get pregnant.",Rape victims need it to be legal.,1,0.6010891199111938
abortion,"it was a rape child,",Rape victims need it to be legal.,1,0.6031596660614014
abortion,- the fetus is the result of a rape or incestuous encounter;,Rape victims need it to be legal.,1,0.4983404874801636
abortion,I only agree to abortion if the women was raped and then became pregnant,Rape victims need it to be legal.,1,0.4663920700550079
abortion,"For example, if the abortion is because of rape, incest, mother's life is in danger, then I completely understand the reason.",Rape victims need it to be legal.,1,0.6569410562515259
abortion,"sense therre ar diffrent situations such as "" accidents"" and ""rape"" abortion shouldnt be banned.",Rape victims need it to be legal.,1,0.5420747995376587
abortion,"I've yet to see anyone ask a pro-lifer this question; what if a fifteen year old girl is raped, impregnated, and still in school and her parents are unable to support the baby, while the rapist is never caught?",Rape victims need it to be legal.,1,0.5989885926246643
abortion,For example rape.,Rape victims need it to be legal.,1,0.5957684516906738
abortion,what about abortion for woman who get raped.,Rape victims need it to be legal.,1,0.4762576222419739
abortion,"but what if your raped, what if you didnt want the baby",Rape victims need it to be legal.,1,0.3042422533035278
abortion,You seem to forget that rape is also never the fault of the  victim .,Rape victims need it to be legal.,1,0.556174635887146
abortion,"So, those, who were raped through the multiple varieties of means, are expected to birth this child although it was coerced rape.",Rape victims need it to be legal.,1,0.5689224600791931
abortion,"Abortion must be kept legal, especially for all the rape and incest pregnancies   Fair enough.",Rape victims need it to be legal.,1,0.7037766575813293
abortion,"Abortion must be kept legal, especially for all the rape and incest pregnancies",Rape victims need it to be legal.,1,0.7719943523406982
abortion,"if, god forbid, you were to get raped, then by all means, have an abortion if that’s what you want.",Rape victims need it to be legal.,1,0.6405646800994873
abortion,It would be really unfair if the mother was raped and she has to bear the emotional pain of having the child.,Rape victims need it to be legal.,1,0.6996226906776428
abortion,If the mother was raped would she be able to take care of the child properly without having a emotional grudge against the child.,Rape victims need it to be legal.,1,0.7852663397789001
abortion,"Buddy, you're definitely right about the rape situation.",Rape victims need it to be legal.,1,0.345043271780014
abortion,the things I feel that must be allowed is abortion after rape,Rape victims need it to be legal.,1,0.4844931662082672
abortion,"Or if the woman was a victim of rape or incest, and she got pregnant.",Rape victims need it to be legal.,1,0.6602084040641785
abortion,Especially if any women have gone through rape or any hard situation and it causes pregnancy then its the mothers choice.,Rape victims need it to be legal.,1,0.7471792697906494
abortion,should that poor girl go through her life looking at the child of a rapist?,Rape victims need it to be legal.,1,0.4986137747764587
abortion,"rape victims,",Rape victims need it to be legal.,1,0.6944173574447632
abortion,I'm against abortion with the exception of rape,Rape victims need it to be legal.,1,0.5039325952529907
abortion,"If its taking nourishment from its mother, it's not quite a human being yet.","A fetus is not a human yet, so it's okay to abort.",1,0.4848474860191345
abortion,"First of all, the fetus is only a potential life and is no comparison to the actual life that is the mother.","A fetus is not a human yet, so it's okay to abort.",1,0.4969252049922943
abortion,isnt that a good thing that they dont feel anything?,"A fetus is not a human yet, so it's okay to abort.",1,0.3596603274345398
abortion,abortions are made to early for the fetus to feel anything.,"A fetus is not a human yet, so it's okay to abort.",1,0.4925985932350158
abortion,"Technically speaking, a fetus is not a human yet.","A fetus is not a human yet, so it's okay to abort.",1,0.416412889957428
abortion,Even if a zygote or early term fetus was a person (which it isn't)...  And even if that person had all the rights that other people have (which it doesn't).,"A fetus is not a human yet, so it's okay to abort.",1,0.5522898435592651
abortion,"A one month old embryo is only alive in the strict biological sense, the same way a plant is alive.","A fetus is not a human yet, so it's okay to abort.",1,0.5650314688682556
abortion,its not a person until the baby comes out,"A fetus is not a human yet, so it's okay to abort.",1,0.3921632170677185
abortion,I think that most of us on the pro-choice side would agree that a woman's right to chose ends by the time a fetus reaches the stage where it eats or thinks.,"A fetus is not a human yet, so it's okay to abort.",1,0.5498549938201904
abortion,"They want to outlaw abortion from the very moment of conception, at which time the ""organism"" as you call it does not eat, does not move and does not think.","A fetus is not a human yet, so it's okay to abort.",1,0.6492166519165039
abortion,A fetus cannot reproduce at the moment of conception.,"A fetus is not a human yet, so it's okay to abort.",1,0.6548763513565063
abortion,sometimes it is...there is a a type of pregnancy that kills the mother AND the fetus unless its aborted..,"A fetus is not a human yet, so it's okay to abort.",1,0.5998716950416565
abortion,"Abortion to me is no different than jizzing in a rag, sure there is potential that those cells could have made a person, but they aren't now and that they never will shouldn't bother anyone in the least.","A fetus is not a human yet, so it's okay to abort.",1,0.6519461274147034
abortion,It's not a person.,"A fetus is not a human yet, so it's okay to abort.",1,0.3607253432273865
abortion,"Given that there is 0 proof that the cluster of cells has any type of self-awareness, a preponderance of proof that the cluster of cells  doesn't  have self-awareness, then it is the case of a person doing something to their own body.","A fetus is not a human yet, so it's okay to abort.",1,0.4908664226531982
abortion,"No, and neither can a fetus if you abort it.","A fetus is not a human yet, so it's okay to abort.",1,0.4694086611270904
abortion,there are women who consider that thing growing in them for the first 3 months nothing more than a cluster of cells?,"A fetus is not a human yet, so it's okay to abort.",1,0.4343948066234588
abortion,For instance what if it wasnt a accident to have the child and the mother found out that her soon to be baby was special ed.,"A fetus is not a human yet, so it's okay to abort.",1,0.5671337842941284
abortion,I personally would not think of it as a human untill about 12 weeks,"A fetus is not a human yet, so it's okay to abort.",1,0.3039288818836212
abortion,An unborn fetus is not a human.,"A fetus is not a human yet, so it's okay to abort.",1,0.5500385165214539
abortion,"As it is attached by the placenta and umbilical cord, its health is dependent on her health, and cannot be regarded as a separate entity as it cannot exist outside her womb.","A fetus is not a human yet, so it's okay to abort.",1,0.737533688545227
abortion,"Nearly all abortions take place in the first trimester, when a fetus cannot exist independent of the mother.","A fetus is not a human yet, so it's okay to abort.",1,0.8572851419448853
abortion,early abortions you are removing a small fetus that lacks a brain but has a underdeveloped nervous systems which is why they move when abortion apparatus is inserted.,"A fetus is not a human yet, so it's okay to abort.",1,0.6352878212928772
abortion,"It doesn't matter if it will someday have emotions, presently it doesn't and is therefore judged as being less than human at this point.","A fetus is not a human yet, so it's okay to abort.",1,0.4793207049369812
abortion,"Before it reaches a certain stage in development, it'd still only be a potential and it shouldn't have any rights whatsoever.","A fetus is not a human yet, so it's okay to abort.",1,0.5618461966514587
abortion,I personally don't consider the fetus to be living,"A fetus is not a human yet, so it's okay to abort.",1,0.330058753490448
abortion,"It has no more feelings or emotions than this keypad I'm typing on until the 3rd trimester, and then about as much feeling and emotion as a grasshopper.","A fetus is not a human yet, so it's okay to abort.",1,0.3684431910514831
abortion,the second trimester is when a baby feels pain,"A fetus is not a human yet, so it's okay to abort.",1,0.4431858956813812
abortion,the youngest baby to live is 22 weeks that  is  the viable age as our medicine currently stands.,"A fetus is not a human yet, so it's okay to abort.",1,0.6080214977264404
abortion,a fetus does not make up the whole of a human.,"A fetus is not a human yet, so it's okay to abort.",1,0.5179585218429565
abortion,"The point is whether it is self-aware and capable of feeling, which it definitely, without any doubt, is not.","A fetus is not a human yet, so it's okay to abort.",1,0.4135062992572784
abortion,"It is a cluster of cells with no feelings, emotion of ability to be self-aware growing within her.","A fetus is not a human yet, so it's okay to abort.",1,0.4887133836746216
abortion,A baby refers to the recently birthed,"A fetus is not a human yet, so it's okay to abort.",1,0.4727226793766022
abortion,The vast majority of women - 88% - who have an abortion do so in their first trimester.,"A fetus is not a human yet, so it's okay to abort.",1,0.8246379494667053
abortion,"Until the fetus can actually survive outside of the womb, it's a living organ like any other organ inside the woman's body","A fetus is not a human yet, so it's okay to abort.",1,0.760897159576416
abortion,"Quite frankly, the newborn brain is still simple enough that I see no moral dilemma if the newborn must die for a rational reason","A fetus is not a human yet, so it's okay to abort.",1,0.5104216933250427
abortion,A foetus is not an individual (it has no sense of self or identity caused by unique memories),"A fetus is not a human yet, so it's okay to abort.",1,0.6211100816726685
abortion,"I believe abortion is 100% okay up until a certain point in the pregnancy, but during and after that point in the pregnancy, it's 100% wrong.","A fetus is not a human yet, so it's okay to abort.",1,0.7367390990257263
abortion,"since the fetus is not a person, it would be fallacious to accrue the same rights to a fetus as you would any other person.","A fetus is not a human yet, so it's okay to abort.",1,0.6547837257385254
abortion,"First, the fetus is neither a ""child"" nor a ""baby""","A fetus is not a human yet, so it's okay to abort.",1,0.3556512296199798
abortion,This is because the fetus doesnt develp consciousness until the onset of the third trimester - prior to this point (more than ~99% of all abortions occure in the 1st trimester) there is no moral status to the actions taken with regards to the preservation of the fetus.,"A fetus is not a human yet, so it's okay to abort.",1,0.8088334202766418
abortion,"Sure, the fetus has the potential to one day be like me, but right now it is not.","A fetus is not a human yet, so it's okay to abort.",1,0.4349118173122406
abortion,Abortion is an a-moral action (not having moral status) prior to the onset of consciousness.,"A fetus is not a human yet, so it's okay to abort.",1,0.6635488867759705
abortion,"Since consciousness only becomes possible at the onset of the third trimester ~ 26 weeks, it is immoral to kill, what I would then call a child.","A fetus is not a human yet, so it's okay to abort.",1,0.50998854637146
abortion,"I do not believe it possible that a foetus has developed all of these aspects of feeling yet, when an infant appears to lack them except in the most rudimentary stages.","A fetus is not a human yet, so it's okay to abort.",1,0.5885715484619141
abortion,Babies in the womb are not thinking and do not have brain function other than to keep their organs functioning.,"A fetus is not a human yet, so it's okay to abort.",1,0.7203340530395508
abortion,I believe early abortions are ethically sound because all you have at that point is a clump of cells -- not a human being.,"A fetus is not a human yet, so it's okay to abort.",1,0.7367407083511353
abortion,Destroying a clump of cells is not murder.,"A fetus is not a human yet, so it's okay to abort.",1,0.6220372319221497
abortion,What if the child in the womb is damaged or deficient beyond help.,"A fetus is not a human yet, so it's okay to abort.",1,0.6329248547554016
abortion,"The mother wants to abort because of some specific reason, let it be because the unborn child is deformed,","A fetus is not a human yet, so it's okay to abort.",1,0.6714228987693787
abortion,"An apple is a fruit and is not a multi cellular organism, such as a human foetus.","A fetus is not a human yet, so it's okay to abort.",1,0.4543837606906891
abortion,I have as much emotion for a foetus dying as an apple or plum being consumed.,"A fetus is not a human yet, so it's okay to abort.",1,0.4990040957927704
abortion,"Or we can consider the other case whena fetus has a diagnose with Tay-Sachs disease, a circumstance of considerable interest inasmuch as Tay-Sachs is an untreatable genetic disease","A fetus is not a human yet, so it's okay to abort.",1,0.6393959522247314
abortion,A fetus is not human yet.,"A fetus is not a human yet, so it's okay to abort.",1,0.4698573052883148
abortion,- the fetus has a  very  high chance of developing some debilitating disease/malformation that will make its developing life difficult.,"A fetus is not a human yet, so it's okay to abort.",1,0.6634105443954468
abortion,The fact is that a fetus isn't human at a certain stage and completely human after a certain point.,"A fetus is not a human yet, so it's okay to abort.",1,0.4570764303207397
abortion,Just because something is alive doesn't mean it's alive like a human.,"A fetus is not a human yet, so it's okay to abort.",1,0.4754295945167541
abortion,Abortion is right when the fetus isn't a human.,"A fetus is not a human yet, so it's okay to abort.",1,0.6660534739494324
abortion,fetus is not conscious,"A fetus is not a human yet, so it's okay to abort.",1,0.3884824514389038
abortion,Embryos don't have a say in the matter because they are not yet humans.,"A fetus is not a human yet, so it's okay to abort.",1,0.5369154810905457
abortion,the baby will have some sort of mental disorder to prevent him/her from living life to the fullest.,"A fetus is not a human yet, so it's okay to abort.",1,0.8343521356582642
abortion,the fetus has no mental capacity to care about anything.,"A fetus is not a human yet, so it's okay to abort.",1,0.5714568495750427
abortion,"Strictly speaking there is no ""you"" until you're months old and have developed the cognitive ability of self-awareness.","A fetus is not a human yet, so it's okay to abort.",1,0.4591502547264099
abortion,Abortion is not murder because it is performed before a fetus has developed into a human person.,"A fetus is not a human yet, so it's okay to abort.",1,0.7920182347297668
abortion,Such is why I believe that it's okay to abort up until a certain point in the pregnancy.,"A fetus is not a human yet, so it's okay to abort.",1,0.5752277374267578
abortion,They feel pain at the beginning of the second trimester (around 12 weeks) and I think abortion should happen before that,"A fetus is not a human yet, so it's okay to abort.",1,0.6240130662918091
abortion,"prior to this, the fetus is not an agent, morality doesnt apply, the fetus has no sovereignty since sovereignty is determined by the awareness of self.","A fetus is not a human yet, so it's okay to abort.",1,0.620175838470459
abortion,fetuses do not gain moral agency until the onset of the third trimester (the point when basic brain activity and consciousness is possible).,"A fetus is not a human yet, so it's okay to abort.",1,0.666104257106781
abortion,A fetus does not have the right to life as long as it is nothing more than a product of its mother and father.,"A fetus is not a human yet, so it's okay to abort.",1,0.8467957973480225
abortion,"Most scientists believe this occurs in the last trimester of pregnancy, which isn't the best time to have an abortion anyways.","A fetus is not a human yet, so it's okay to abort.",1,0.7870210409164429
abortion,it is tissue without a necessary nervous system.,"A fetus is not a human yet, so it's okay to abort.",1,0.4552980661392212
abortion,"A ""thing"" inside of a women stomach (cuz we all know that's where the come from) is not a true human being until it comes out into the world.","A fetus is not a human yet, so it's okay to abort.",1,0.363816350698471
abortion,"Many times an abortion occurs the fetus is just a clump of developing cells and, in fact, it is not a living thing at all.","A fetus is not a human yet, so it's okay to abort.",1,0.8130791187286377
abortion,the baby is too young to survive.,"A fetus is not a human yet, so it's okay to abort.",1,0.5456517934799194
abortion,They probably will not even be recognizably human.,"A fetus is not a human yet, so it's okay to abort.",1,0.360618531703949
abortion,A foetus is not a person in the meaningful sense of the word.,"A fetus is not a human yet, so it's okay to abort.",1,0.4898898005485534
abortion,"Normally, I am against killing, but a fetus is a lot different than a fully grown human, or even a child.","A fetus is not a human yet, so it's okay to abort.",1,0.5920341610908508
abortion,"A zygote isn't a ""class of people"", it isn't even a person yet.","A fetus is not a human yet, so it's okay to abort.",1,0.4122335612773895
abortion,"An unborn, undeveloped foetus, is not a baby.","A fetus is not a human yet, so it's okay to abort.",1,0.5334040522575378
abortion,Abortion is not murder because a fetus is not a human.,"A fetus is not a human yet, so it's okay to abort.",1,0.6680346131324768
abortion,"We consider ourselves more precious because of our minds, and a foetus has no mind.","A fetus is not a human yet, so it's okay to abort.",1,0.5745593905448914
