topic,argument,key_point,stance,label,set,ibm_pro_deb_qs
Assisted suicide should be a criminal offence,assisted suicide is just another word for murder.,Assisted suicide is akin to killing someone,1,1,train,0.8693016171455383
Assisted suicide should be a criminal offence,assisted suicide is just helping a person kill a person which seems like i should be a criminal offence.,Assisted suicide is akin to killing someone,1,1,train,0.7005545496940613
Assisted suicide should be a criminal offence,assisted suicide is just like accessory to murder,Assisted suicide is akin to killing someone,1,1,train,0.8307132124900818
Assisted suicide should be a criminal offence,Assisted suicide is just murder by another name and it should be punished accordingly.,Assisted suicide is akin to killing someone,1,1,train,0.884742021560669
Assisted suicide should be a criminal offence,assisted suicide is killing someone even if it is at their request,Assisted suicide is akin to killing someone,1,1,train,0.858116865158081
Assisted suicide should be a criminal offence,assisted suicide is murder and therefore illegal,Assisted suicide is akin to killing someone,1,1,train,0.9036595821380616
Assisted suicide should be a criminal offence,assisted suicide is murder of another and should be considered a criminal offence.,Assisted suicide is akin to killing someone,1,1,train,0.879618227481842
Assisted suicide should be a criminal offence,"assisted suicide is murder, the doctor is giving the weapon to the person with the sole purpose of death.",Assisted suicide is akin to killing someone,1,1,train,0.8526031374931335
Assisted suicide should be a criminal offence,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,Assisted suicide reduces suffering,-1,1,train,0.8056958317756653
Assisted suicide should be a criminal offence,assisted suicide is not only immoral but is also a form of murder and should be a criminal offence.,Assisted suicide is akin to killing someone,1,1,train,0.9336462020874025
Assisted suicide should be a criminal offence,assisted suicide is nothing short of murder and it should be a criminal offence.,Assisted suicide is akin to killing someone,1,1,train,0.8949863910675049
Assisted suicide should be a criminal offence,"assisted suicide is really just another word for murder or homicide,",Assisted suicide is akin to killing someone,1,1,train,0.8518091440200806
Assisted suicide should be a criminal offence,assisted suicide is still one person essentially killing another,Assisted suicide is akin to killing someone,1,1,train,0.7699497938156128
Assisted suicide should be a criminal offence,assisted suicide is the same as murder and therefore should be illegal.,Assisted suicide is akin to killing someone,1,1,train,0.8732422590255737
Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.922649621963501
Assisted suicide should be a criminal offence,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.8558552861213684
Assisted suicide should be a criminal offence,Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.8997436761856079
Assisted suicide should be a criminal offence,Assisted suicide should be a criminal offence as if the person cannot make their own decisions and actions then it would be impossible to know if the person helping wasn't just murdering them.,People who are ill do not have clear judgement and are in need of help,1,1,train,0.888374924659729
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence as it is another form of murder,Assisted suicide is akin to killing someone,1,1,train,0.8950541615486145
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it causes the death of a human being just the same as if taken by a criminal.,Assisted suicide is akin to killing someone,1,1,train,0.9160205125808716
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it would be very easy to murder a vulnerable relative in order to get an inheritance.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9243409633636476
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,Assisted suicide is akin to killing someone,1,1,train,0.8753588199615479
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing someone is wrong even if they want you to do it,Assisted suicide is akin to killing someone,1,1,train,0.8433932662010193
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them,People do not have the right to self-harm/harm others,1,1,train,0.8969099521636963
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offence because pain makes people do some extreme things, but it shouldn't include death.",People who are ill do not have clear judgement and are in need of help,1,1,train,0.7344598770141602
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,Assisted suicide is akin to killing someone,1,1,train,0.8472516536712646
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because that is murder,Assisted suicide is akin to killing someone,1,1,train,0.8479548692703247
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because the person is basically killing the other person.,Assisted suicide is akin to killing someone,1,1,train,0.8444355726242065
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because what if the person being assisted was in only a bad emotional state which could be cured with professional health.,People who are ill do not have clear judgement and are in need of help,1,1,train,0.8295007944107056
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because at the end of the day somebody is dead and you had a hand in it.,Assisted suicide is akin to killing someone,1,1,train,0.7979071736335754
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offense because death is death, at the end of the day someone is dead and you had a hand in it.",Assisted suicide is akin to killing someone,1,1,train,0.8016582727432251
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because it's just a different name for murder,Assisted suicide is akin to killing someone,1,1,train,0.7604774236679077
Assisted suicide should be a criminal offence,assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9650272130966188
Assisted suicide should be a criminal offence,assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.,Assisted suicide reduces suffering,-1,1,train,0.9163376092910768
Assisted suicide should be a criminal offence,assisted suicide should be criminalized as no human being has the right to determine whether another human being lives or dies,People do not have the right to self-harm/harm others,1,1,train,0.9168115854263306
Assisted suicide should be a criminal offence,assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice,Assisted suicide reduces suffering,-1,1,train,0.9408586025238036
Assisted suicide should be a criminal offence,assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9429386854171752
Assisted suicide should be a criminal offence,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,Assisted suicide reduces suffering,-1,1,train,0.8018471002578735
Assisted suicide should be a criminal offence,Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.,Assisted suicide reduces suffering,-1,1,train,0.8963887691497803
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.,People should have the freedom to choose to end their life,-1,1,train,0.8614622354507446
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to,People should have the freedom to choose to end their life,-1,1,train,0.8133001327514648
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.,Assisted suicide reduces suffering,-1,1,train,0.9201489686965942
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.,Assisted suicide reduces suffering,-1,1,train,0.8964954614639282
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to",People should have the freedom to choose to end their life,-1,1,train,0.8035168647766113
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.",People should have the freedom to choose to end their life,-1,1,train,0.8834000825881958
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness,Assisted suicide reduces suffering,-1,1,train,0.8779256939888
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.,Assisted suicide reduces suffering,-1,1,train,0.8618226051330566
Assisted suicide should be a criminal offence,assisted suicide should not be an option just because people are in pain as there are other options to help with this,Assisted suicide should not be allowed because many times people can still get better,1,1,train,0.6849808692932129
Assisted suicide should be a criminal offence,assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live,People should have the freedom to choose to end their life,-1,1,train,0.8662785887718201
Assisted suicide should be a criminal offence,assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed,Assisted suicide reduces suffering,-1,1,train,0.7456526756286621
Assisted suicide should be a criminal offence,"assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway",The terminally ill would benefit from assisted suicide,-1,1,train,0.8394063711166382
Assisted suicide should be a criminal offence,assisted suicide sometimes is the only thing that ends suffering.,Assisted suicide reduces suffering,-1,1,train,0.8459199666976929
Assisted suicide should be a criminal offence,assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.,Assisted suicide reduces suffering,-1,1,train,0.8641623258590698
Assisted suicide should be a criminal offence,assisted suicides are less painful and are an act of mercy,Assisted suicide reduces suffering,-1,1,train,0.893101692199707
Assisted suicide should be a criminal offence,assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering.,Assisted suicide reduces suffering,-1,1,train,0.8905557990074158
Assisted suicide should be a criminal offence,assisting someone with suicide is equivalent to murder and that person has a moral obligation to report that persons intentions to authorities,Assisted suicide is akin to killing someone,1,1,train,0.8960213661193848
Assisted suicide should be a criminal offence,assisting to suicide is still an accessory to murder,Assisted suicide is akin to killing someone,1,1,train,0.8922802209854126
Assisted suicide should be a criminal offence,assited suicide allows those with a painful and terminal illness the ability to chose to end their life to cease the pain and suffering that would last for the end of their lives.,Assisted suicide reduces suffering,-1,1,train,0.8682458996772766
Assisted suicide should be a criminal offence,doctors take an oath to do no harm - assisting in suicide violates this,Assisted suicide violates the doctor's role,1,1,train,0.8327939510345459
Assisted suicide should be a criminal offence,ending a life is a crime no matter the reason.,Assisted suicide is akin to killing someone,1,1,train,0.8409683704376221
Assisted suicide should be a criminal offence,ending a life is unlawful regardless of the reason.,Assisted suicide is akin to killing someone,1,1,train,0.877493143081665
Assisted suicide should be a criminal offence,Giving someone the medicine to end a life other than natural causes is assisting in murder.,Assisted suicide is akin to killing someone,1,1,train,0.890694797039032
Assisted suicide should be a criminal offence,helping someone commit suicide is like killing them yourself.,Assisted suicide is akin to killing someone,1,1,train,0.771240234375
Assisted suicide should be a criminal offence,helping someone kill themself is murder,Assisted suicide is akin to killing someone,1,1,train,0.8878477215766907
Assisted suicide should be a criminal offence,helping someone to commit suicide is murder and should be criminalized,Assisted suicide is akin to killing someone,1,1,train,0.9134928584098816
Assisted suicide should be a criminal offence,"if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering",Assisted suicide reduces suffering,-1,1,train,0.9231033325195312
Assisted suicide should be a criminal offence,"If a person is already diagnosed with only a short time to live and is undergoing excruciating pain, assisted death is a compassionate support for the person.",Assisted suicide reduces suffering,-1,1,train,0.8800942301750183
Assisted suicide should be a criminal offence,"If a person only has weeks to live, then assisted suicide may be the answer if all other possibilities have been exhaussted.",The terminally ill would benefit from assisted suicide,-1,1,train,0.8811243772506714
Assisted suicide should be a criminal offence,if a person who is dying anyway wants to end their life in a peaceful way then they should be able to do so.,People should have the freedom to choose to end their life,-1,1,train,0.9022614359855652
Assisted suicide should be a criminal offence,if not a criminal offence it could encourage murder under the guise of assisted suicide that would be difficult to prove.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9204641580581664
Assisted suicide should be a criminal offence,if people has a life ending illness they should be allowed to die,People should have the freedom to choose to end their life,-1,1,train,0.796623706817627
Assisted suicide should be a criminal offence,"if someone has an illness and is in constant pain, helping them end their misery is the humane thing to do and should be understood.",Assisted suicide reduces suffering,-1,1,train,0.9184732437133788
Assisted suicide should be a criminal offence,"if someone is suffering from an incurable disease and is in great pain, it can be humane to help end their suffering.",Assisted suicide reduces suffering,-1,1,train,0.9153525829315186
Assisted suicide should be a criminal offence,"if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.",People should have the freedom to choose to end their life,-1,1,train,0.9153738021850586
Assisted suicide should be a criminal offence,"if you help someone kill themselves that is murder, and should be punished.",Assisted suicide is akin to killing someone,1,1,train,0.8774329423904419
Assisted suicide should be a criminal offence,it helps relieve some people from tremendous suffering,Assisted suicide reduces suffering,-1,1,train,0.89435213804245
Assisted suicide should be a criminal offence,It is a criminal offense to kill someone and that is what someone assisting a person in committing suicide is doing.,Assisted suicide is akin to killing someone,1,1,train,0.853380560874939
Assisted suicide should be a criminal offence,it is more humane to help the person die than to let them suffer excruciating pain,Assisted suicide reduces suffering,-1,1,train,0.915432870388031
Assisted suicide should be a criminal offence,it is possible that this could be used as a murder in some cases.,Assisted suicide is akin to killing someone,1,1,train,0.9000520706176758
Assisted suicide should be a criminal offence,it should be a criminal offense to assist in a suicide because that is murder.,Assisted suicide is akin to killing someone,1,1,train,0.8825713992118835
Assisted suicide should be a criminal offence,killing another person is wrong and should be banned,Assisted suicide is akin to killing someone,1,1,train,0.8633323311805725
Assisted suicide should be a criminal offence,many people are suffering terribly but are physically incapable of dying on their own,Assisted suicide reduces suffering,-1,1,train,0.8902302384376526
Assisted suicide should be a criminal offence,"many people do not have the mental capacity to comprehend the finality of assisted suicide and it will be abused, and it should be a criminal offence to any persons involved.",People who are ill do not have clear judgement and are in need of help,1,1,train,0.951420783996582
Assisted suicide should be a criminal offence,many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.,Assisted suicide reduces suffering,-1,1,train,0.938639521598816
Assisted suicide should be a criminal offence,Murder is murder no matter the circumstances,Assisted suicide is akin to killing someone,1,1,train,0.9055349826812744
Assisted suicide should be a criminal offence,"no doctor should take part in killing , it is their job to heal",Assisted suicide violates the doctor's role,1,1,train,0.8236451745033264
Assisted suicide should be a criminal offence,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not,People who are ill do not have clear judgement and are in need of help,1,1,train,0.8727545142173767
Assisted suicide should be a criminal offence,no other person should help you take your life,People do not have the right to self-harm/harm others,1,1,train,0.7250244617462158
Assisted suicide should be a criminal offence,no-one has the right to play god and decide to help another person to die.,People do not have the right to self-harm/harm others,1,1,train,0.8885617852210999
Assisted suicide should be a criminal offence,nobody has the right to take a life.,People do not have the right to self-harm/harm others,1,1,train,0.8838527202606201
Assisted suicide should be a criminal offence,nobody has the right to take someone else's life.,People do not have the right to self-harm/harm others,1,1,train,0.8838091492652893
Assisted suicide should be a criminal offence,People and family members must decide what they want to do with their life and body,People should have the freedom to choose to end their life,-1,1,train,0.8071182370185852
Assisted suicide should be a criminal offence,people have the right to die on their own terms and in their own time,People should have the freedom to choose to end their life,-1,1,train,0.8854770660400391
Assisted suicide should be a criminal offence,people have the right to their bodies and if they wish to die they should be able to get help to do so.,People should have the freedom to choose to end their life,-1,1,train,0.91228449344635
Assisted suicide should be a criminal offence,people may easily be manipulated into being a victim of assisted suicide by relatives with alterior motives,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9107295870780944
Assisted suicide should be a criminal offence,people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative,People should have the freedom to choose to end their life,-1,1,train,0.8121339082717896
Assisted suicide should be a criminal offence,people need to die on their own as this would be almost like murder.,Assisted suicide is akin to killing someone,1,1,train,0.7101501822471619
Assisted suicide should be a criminal offence,People should be able to ask for help in ending their own life if they are living with an incurable disease.,People should have the freedom to choose to end their life,-1,1,train,0.914933979511261
Assisted suicide should be a criminal offence,people should be allowed to die with dignity instead of suffering a long painful death.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9436163902282716
Assisted suicide should be a criminal offence,people should be free to help people out of their pain by helping them commit suicide without the fear of prosecution,Assisted suicide reduces suffering,-1,1,train,0.8651588559150696
Assisted suicide should be a criminal offence,"people should choose what to do with their lives, even if it means ending it in whatever manner they choose",People should have the freedom to choose to end their life,-1,1,train,0.7726776003837585
Assisted suicide should be a criminal offence,"people should have the right to decide how and when they want to die, particularly if they are suffering from a terminal illness",People should have the freedom to choose to end their life,-1,1,train,0.931664228439331
Assisted suicide should be a criminal offence,people should have the right to die if they choose.,People should have the freedom to choose to end their life,-1,1,train,0.8690959215164185
Assisted suicide should be a criminal offence,people that are terminally ill should be able to choose whether they want to have to live suffering or whether they want to end the pain.,People should have the freedom to choose to end their life,-1,1,train,0.8097756505012512
Assisted suicide should be a criminal offence,"People wanting to commit suicide need mental and emotional help, not help in carrying out their plans to end their own lives.",People who are ill do not have clear judgement and are in need of help,1,1,train,0.9100326299667358
Assisted suicide should be a criminal offence,people who are terminally ill with no hope of survival should be spared the pain and suffering of living.,Assisted suicide reduces suffering,-1,1,train,0.9163947701454164
Assisted suicide should be a criminal offence,people who have no hope of living should have a choice to end their life,People should have the freedom to choose to end their life,-1,1,train,0.8266741037368774
Assisted suicide should be a criminal offence,people who have terminal illness or suffer from certain medical conditions should have the freedom to choose and if medical personnel helps them it shouldn't be treated as offence.,People should have the freedom to choose to end their life,-1,1,train,0.8848637342453003
Assisted suicide should be a criminal offence,"people willing to die, it's their choice, should be able to leave this world in a civil way and helped with assisted suicide when needed",People should have the freedom to choose to end their life,-1,1,train,0.8650368452072144
Assisted suicide should be a criminal offence,providing someone the means to kill themselves is equivalent to pulling the trigger yourself,Assisted suicide is akin to killing someone,1,1,train,0.5688437223434448
Assisted suicide should be a criminal offence,some patients have the utmost suffering and must end it as soon as possible,Assisted suicide reduces suffering,-1,1,train,0.7641706466674805
Assisted suicide should be a criminal offence,"sometimes people who are unable to end their own lives, are in so much pain and anguish that it is cruel to make them keep living, their loved ones need to be able to help them legally.",Assisted suicide reduces suffering,-1,1,train,0.8630689382553101
Assisted suicide should be a criminal offence,"suicide is a criminal offense, thus assisting in suicide would be acting as an accomplice to murder.",Assisted suicide is akin to killing someone,1,1,train,0.9430813789367676
Assisted suicide should be a criminal offence,"suicide is illegal and so is killing, so how is assisted suicide going to be legal?",Assisted suicide is akin to killing someone,1,1,train,0.7661880850791931
Assisted suicide should be a criminal offence,"the end of life can be painful and humiliating, and we should allow people the right to decide when they are ready to end their own suffering.",Assisted suicide reduces suffering,-1,1,train,0.8983829617500305
Assisted suicide should be a criminal offence,"The Hippocratic Oath states, ""First, do no harm"" - assisted suicide violates a doctor's duty not to do harm to a patient.",Assisted suicide violates the doctor's role,1,1,train,0.7997133731842041
Assisted suicide should be a criminal offence,the person assisting in an assisted suicide is committing murder and should be charged,Assisted suicide is akin to killing someone,1,1,train,0.8808411955833435
Assisted suicide should be a criminal offence,the right to die is a personal choice and everyone has the right to make it happen if they truly wish,People should have the freedom to choose to end their life,-1,1,train,0.8945508003234863
Assisted suicide should be a criminal offence,there is no reason for dying people to suffer unnecessarily,Assisted suicide reduces suffering,-1,1,train,0.962498664855957
Assisted suicide should be a criminal offence,there is too much potential for exploitation of assisted suicide by malicious relatives that it should be banned as a matter of individual safety,Assisted suicide allows people to solicit someone to die to their own benefit,1,1,train,0.9628921747207642
Assisted suicide should be a criminal offence,this is effectively commiting murder; no one has the right to take another person's life,Assisted suicide is akin to killing someone,1,1,train,0.9342149496078492
Assisted suicide should be a criminal offence,this would protect someone who's judgement may be impaired,People who are ill do not have clear judgement and are in need of help,1,1,train,0.8790368437767029
Assisted suicide should be a criminal offence,to assist a loved one to pass on and be relieved of suffering is a selfless act that should not be criminalised.,Assisted suicide reduces suffering,-1,1,train,0.9203596115112304
Assisted suicide should be a criminal offence,we cannot allow people to assist suicide because there is a fine line between assistance and murder and to have to differentiate is complex ground.,Assisted suicide is akin to killing someone,1,1,train,0.8787024021148682
Assisted suicide should be a criminal offence,We don't allow our pets to suffer but because of religious doctrine we force humans to die in mental anguish and pain instead of decriminalising assisted suicide so they can die with dignity.,Assisted suicide gives dignity to the person that wants to commit it,-1,1,train,0.9008417129516602
Assisted suicide should be a criminal offence,when people are in unbearable pain and suffering and have no chance of getting better it is cruel to keep them alive without their consent,Assisted suicide reduces suffering,-1,1,train,0.9108203649520874
Assisted suicide should be a criminal offence,"Yes, because it is murder practically and this is considered a crime",Assisted suicide is akin to killing someone,1,1,train,0.7682076096534729
Homeschooling should be banned,a parent knows best what is good for their kid,Parents should be permitted to choose the education of their children,-1,1,train,0.5821250081062317
Homeschooling should be banned,a parent knows their child better than anyone else and can personalize their teaching to that childs personality,Homeschools can be personalized to the child's pace/needs,-1,1,train,0.8271477222442627
Homeschooling should be banned,children can not learn to interact with their peers when taught at home,Mainstream schools are essential to develop social skills,1,1,train,0.8072085976600647
Homeschooling should be banned,children do not get the social interaction from kids their own age if homeschooled.,Mainstream schools are essential to develop social skills,1,1,train,0.8602298498153687
Homeschooling should be banned,children have a right to education and ignorant parents that think they are more qualified than they are should not have tyranny over that right,Parents are not qualified as teachers,1,1,train,0.7010042667388916
Homeschooling should be banned,children miss out on important social interaction with their peers,Mainstream schools are essential to develop social skills,1,1,train,0.8776246905326843
Homeschooling should be banned,children need an active environment with different types of people rather than always being at home,Mainstream schools are essential to develop social skills,1,1,train,0.8393815755844116
Homeschooling should be banned,children need to be with other children to learn to be social,Mainstream schools are essential to develop social skills,1,1,train,0.7058422565460205
Homeschooling should be banned,Children who are bullied in school can benefit greatly from switching to a homeschool environment where the parents have more control over who their children socialize with.,Mainstream schools have a lot of violence/bullying,-1,1,train,0.9631347060203552
Homeschooling should be banned,children who homeschool have surpassed their public school peers in standardized testing by an overall 10% better performance.,The home is a good learning environment,-1,1,train,0.9408777356147766
Homeschooling should be banned,children with disabilities or mental illness will get as much patience as they need in home school,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1,1,train,0.7717525362968445
Homeschooling should be banned,education at home could represent a risk since it is not regulated,Homeschools cannot be regulated/standardized,1,1,train,0.7791550159454346
Homeschooling should be banned,families should have the continued option of homeschooling because bullying in schools and such exists.,Mainstream schools have a lot of violence/bullying,-1,1,train,0.9060818552970886
Homeschooling should be banned,home schooling isn't as good as regular schools because parents just are not as equipped as teachers are in educating their kids.,Parents are not qualified as teachers,1,1,train,0.910764217376709
Homeschooling should be banned,home schooling provides a safe place to learn without school shooting and bullying dangers,Mainstream schools have a lot of violence/bullying,-1,1,train,0.9331770539283752
Homeschooling should be banned,homeschool students don't gain the social skills they need while growing up.,Mainstream schools are essential to develop social skills,1,1,train,0.973829984664917
Homeschooling should be banned,homeschooled children do much better in standardized testing,The home is a good learning environment,-1,1,train,0.9404569864273072
Homeschooling should be banned,homeschooled kids get a good education and it is the parents right to school them how they see fit,Parents should be permitted to choose the education of their children,-1,1,train,0.9570454955101012
Homeschooling should be banned,homeschooled students do not learn necessary social skills,Mainstream schools are essential to develop social skills,1,1,train,0.8868935108184814
Homeschooling should be banned,"homeschooling a child denies them valuable lifeskills, particularly interaction with their own age group and all experiences stemming from this.",Mainstream schools are essential to develop social skills,1,1,train,0.94295996427536
Homeschooling should be banned,homeschooling allows a cirriculum that caters to a child's specific needs and saves the state money.,Homeschools can be personalized to the child's pace/needs,-1,1,train,0.9587947726249696
Homeschooling should be banned,homeschooling allows children to be taught in a comfortable sitting as well as benefit from one-on-one teaching and relieves the stress from such things as bullying and peer pressure.,Mainstream schools have a lot of violence/bullying,-1,1,train,0.986559510231018
Homeschooling should be banned,homeschooling allows for targeted education in a safe environment.,The home is a good learning environment,-1,1,train,0.9789910912513732
