human_scores,topic,stance,refs,preds,bert_score_p,bart_score_parabank_rs,coverage_score,llm_coverage,llm_redundancy,runtime
0.625,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Abortion should be legal as it is the mother's decision to kill said baby
- the fetus is the result of a rape or incestuous encounter;
Abortion should definitely banned except when the mothers life may be at risk.
But people should have the right to make the choices that affect their life.
Abortion is not Murder.
Abortion is also not the taking of a human life.
A women has a right to not have her body used by someone else.
adoption homes are flooded with unwanted children
abortion if the woman is not going to take care of her child",0.5589256882667542,0.6215619195785947,0.375,0.7125,0.3888888888888888,82.16389
0.625,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Women's right to choose abortion is fundamental.
Abortion is justified in cases of rape or incest.
Unwanted children may face neglect and suffering.
Abortion should be a legal and safe procedure.
Financial constraints can justify abortion decisions.
Access to safe abortions prevents unsafe procedures.
A woman's autonomy over her body is paramount.
Abortion is not equivalent to murder.",0.5354235768318176,0.6230721224166459,0.375,0.8125,0.3874999999999999,10.43543
0.6875,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","Women have the right to decide on abortion.
Abortion is a woman's choice for her body.
Legal abortion prevents unsafe procedures.
Abortion should be allowed in cases of rape.
Abortion is not considered murder scientifically.
Abortion is acceptable for health or financial reasons.
Adoption may not be a viable alternative to abortion.
A fetus does not have the same rights as a person.
Abortion is justified to prevent suffering.",0.5276128053665161,0.6430286301709951,0.5,0.89375,0.3555555555555556,7.56592
0.5,abortion,1,"Abortion is a womans right.
Rape victims need it to be legal.
A fetus is not a human yet, so it's okay to abort.
Abortion should be allowed when a mother's life is in danger.
Unwanted babies are ill-treated by parents and/or not always adopted.
Birth control fails at times and abortion is one way to deal with it.
Abortion is not murder.
Mother is not healthy/financially solvent.","parents should have the power to make the decision themselves and not face any legal hindrance of any form.
If a woman doesn't have the economic resources to support the child, abortion is also an option.
sometimes a child being born causes great strain on the parents and could possibly lead to death.
A woman also has the right to decide what happens to her body.
The ability of a woman to have control of her body is critical to civil rights.
Nearly all abortions take place in the first trimester, when a fetus cannot exist independent of the mother.
Therefore, taking a woman's right to choice is wrong regardless what a church or the government suggests.
The vast majority of women - 88% - who have an abortion do so in their first trimester.
Abortion is not murder because it is performed before a fetus has developed into a human person.
Pregnancy can occur even with responsible contraceptive use.
adoption homes are flooded with unwanted children",0.3515899181365967,0.5305757513795185,0.625,0.775,0.4636363636363636,14.59228
0.5,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Marriage is preferable between a man and a woman
A homosexual relationship lacks the necessary role/religiousness
God created Adam and Eve
Sexual disorientation is a result of childhood sexual abuse
People are not immoral and should not be forced to do so
It is wrong to live in a position of not producing children",0.3182896375656128,0.346237485165835,0.0,0.85,0.4,10.386
0.75,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Parental guidance on LGBTQ+ issues may lack.
Homosexuality opposes religious beliefs and traditions.
Homosexuality is immoral and abnormal.",0.4731805920600891,0.4045278853678808,0.5,0.7,0.2999999999999999,3.263
0.625,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Children from these families are more likely to struggle.
Marriage is defined as between a man and a woman.
Homosexuality breeds disease and moral corruption.",0.3922526240348816,0.3232130867509597,0.0,0.7,0.2333333333333334,2.551
0.75,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Marriage should be between man and woman
Homosexuality goes against procreation
Homosexuality is against religious beliefs
Children need both mother and father
Gay marriage affects future generations
Homosexuality is unnatural and abnormal
Gay marriage harms society in the long run
Homosexuality leads to moral corruption",0.4783793687820434,0.4197692436172393,0.5,1.0,0.4499999999999999,33.53776
0.5,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Homosexuality contradicts religious beliefs
Marriage should be between man and woman
Homosexuality goes against procreation
Same-sex couples cannot produce offspring",0.4789569973945617,0.3926550630665219,0.5,0.975,0.25,6.60239
0.25,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Homosexuals does not support the purpose of life by not producing children
A homosexual relationship will be lacking the legal bind, and the ability to produce offspring.
Children should have a mother and a father as role models.",0.2960453033447265,0.2855412317930073,0.0,0.6625,0.1333333333333333,15.36939
0.75,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Gay marriage goes against societal norms.
Homosexuality hinders population growth.
Homosexuality goes against religious beliefs.
Marriage is for procreation, not homosexuality.
Homosexuality is unnatural and abnormal.
Homosexuality is considered a sin.
Children need both a mother and father.
Marriage should be between man and woman.",0.5588429570198059,0.458602158831679,0.5,0.975,0.375,10.07367
1.0,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Homosexuality contradicts religious beliefs and traditions.
Marriage is defined as between a man and a woman.
Homosexuality goes against procreation and family values.
Same-sex couples cannot naturally produce offspring.
Homosexuality is seen as immoral and unnatural.
Children need both a mother and a father.
Homosexuality is considered abnormal and harmful to society.",0.5137054920196533,0.4523119167248237,1.0,1.0,0.4142857142857143,5.58406
0.625,gayRights,-1,"Religion does not permit gay marriages.
Gay marriages are not normal/against nature.
Gay parents can not raise kids properly.
Gay people have problems and create social issues.","Homosexuality breeds disease and moral corruption.
Men sexually attracted to other men and vice versa is a type of sexual disorientation.
Sexual deviants would thrive in this environment.
gay marriage is not the right option becuase it affects the future generation.
Homosexuals are wrong because they stop the world from populating
Children should have a mother and a father as role models.
A homosexual relationship will be lacking the legal bind, and the ability to produce offspring.
I believe that allowing gays to marry would harm society in the long run.",0.4108355045318603,0.39131297310347,0.25,0.925,0.4375,7.15029
0.3,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Parents have the same rights as other people as they are to adopt children
The act of marrying harms straight people",0.3447526097297668,0.5465273572427091,0.0,0.55,0.0,7.808
1.0,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Religious beliefs should not dictate LGBTQ rights.
Love allows gay marriage, a civil right.
Gay marriage should be legally recognized for all.
Love is the reason for marriage.
Love is a right, regardless of gender.
Marriage is a government institution, not religious.
Equal respect for same-sex relationships is essential.
Gay marriage promotes true equality.
Denying gay marriage rights is discriminatory and outdated.
Love has no gender restrictions.
Parenting by same-sex couples has no negative effects.
Love is love, discrimination is unjust.
Religious beliefs should not dictate legal rights.
Love is a personal choice, not dictated.
Sexual orientation is natural and innate.
Gay marriage does not harm straight marriage.
Gay parents are equally capable of raising children.
Gays should have right to adopt.
Equal rights for consenting adults should be universal.
God created gays along with all people.
Sexual orientation is not a choice.",0.6366575956344604,0.7507198298493463,0.6,0.91,0.5,16.692
0.8,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Gay marriage does not harm anyone.
Homosexuality is not immoral or harmful.
Children raised by same-sex parents turn out fine.
Love is equal regardless of gender.
Homosexuality is natural and not wrong.
Marriage equality is about equal benefits.
Legalizing gay marriage benefits families.
Allowing gay couples to adopt helps children.
Denying gay marriage is discriminatory.
Homosexuality is natural and not a choice.
Supporting gay marriage is natural and positive.
Respect others' love lives and choices.
Allowing gay marriage won't change sexual orientation.
Gay marriage does not cause harm.
Don't restrict others based on outdated beliefs.
Marriage is a legal, not religious, institution.
Legal recognition benefits same-sex parents.
Gay couples provide loving homes for children.",0.540866494178772,0.6819735737694212,0.4,0.99,0.5666666666666667,7.146
0.8,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights."," Denying gay marriage violates rights.
Gay marriage doesn't harm anyone.
 Homosexuality is natural and not a choice.
Legalizing same-sex marriage promotes equality.
Respect for all relationships equally.
 Everyone deserves equal marriage rights.
No impact on straight couples' marriages.
 Every individual deserves happiness and marriage.
No difference in love, regardless of gender.
 Religious beliefs should not dictate laws.",0.5552557706832886,0.6146448595721853,0.6,1.0,0.44,116.17324
0.4,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Gay marriage does not harm anyone.
Homosexuality is natural and not a choice.
Denying gay rights is discriminatory.
Love is equal, regardless of gender.",0.5100873708724976,0.6352092569827981,0.2,0.82,0.25,14.83358
1.0,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","gay people have the right to if they want to...
homosexuality is not a choice
Gay marriage would not and cannot harm straight marriage
People have no control over who they fall in love with, male or female.
Gay people pay taxes, they are entitled to the same rights
The majority does not have the legal right to oppress the minority.
children raised in gay families are completely fine.
Plus, there are SO many children in need of good, loving homes.
love is love
I think gays have every bit the potential to be amazing parents that straights do.
Archaic laws grounded in religious dogma should not be dictating rights in a secular society.",0.4466733038425445,0.6225633392864212,0.2,0.99,0.4545454545454546,112.1364
0.6,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Denying gay rights violates civil liberties.
Discrimination against gays is unacceptable.
All individuals deserve equal marriage rights.
Gay couples can be loving, capable parents.
Homosexuality is natural, not a choice.
Gay marriage doesn't harm society.
Love is the foundation of marriage.",0.5556832551956177,0.6859646398684571,0.4,0.97,0.3714285714285713,11.55627
0.8,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","Gay marriage doesn't harm society or others.
Homosexuals deserve equal rights and recognition.
Denying gay marriage is discriminatory and unjust.
Love and marriage should be universal and equal.
Homosexuality is natural and not a choice.
Legal benefits should be extended to all couples.
Religious beliefs should not dictate legal rights.
Children raised by same-sex parents turn out fine.",0.5298715829849243,0.6834281523807808,0.6,0.99,0.375,8.55822
0.8,gayRights,1,"Gay marriage is like any other marriage.
Gay people should have the same rights as straight people.
Gay parents can adopt and ensure a happy life for a baby.
People are born gay.
Religion should not be used against gay rights.","illegalizing the right to love someone is discriminatory due to the fact that they aren't harming anyone,
homosexualls have the same equal rights as hetrosexualls.
Gay couple parents without adoption rights do not benefit from the generous tax deductions granted to heterosexual parents.
two concenting adults should be able to have the same rights as anyone else.
The law only hurts children waiting to be adopted and deprives loving parents who would care for these children.
People have no control over who they fall in love with, male or female.
Every single person in this world deserves the same equal rights as the next, no exceptions
No majority ever has the right to decide the life of a minority, which does no harm to anyone
By denying homosexuals the right to marry, the United States in violation of the First Amendment
Gay people pay taxes, they are entitled to the same rights
if two regular couples can adopt a child then a gay couple should be able to.
Marriage should be allowed regardless of the participants gender.
No one has the right to tell others who they can and can not fall in love with.
Marriage, unless combined with other causes, doesn't cause any considerable physical, financial, etc harm to others.
If one parent dies, the second parent has no legal right to take custody or care for the child.
GAYS SHOULD HAVE THE RIGHT TO ADOPT.
Archaic laws grounded in religious dogma should not be dictating rights in a secular society.
Marriage as we describe it now is a civil contract and not a religious one.
Over 1500 species observed that show some kind of homosexual activity, with numerous cases of gay life bonding pairs
children raised in gay families are completely fine.
Homosexuality does not breed any disease or moral corruption",0.4043714106082916,0.6020236290501984,0.2,1.0,0.5095238095238095,22.76185
0.4,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana harms the adolescent brain
Legal cannabis makes people more likely to get their hands on it
It is not helpful/harming your life",0.3309032022953033,0.3809760511122467,0.2,0.61,0.3333333333333333,7.011
1.0,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana impairs cognitive functions and memory.
Marijuana poses health risks like tobacco.
Marijuana is a gateway drug to other substances.
Marijuana is highly addictive, leading to dependency.
Increased access to marijuana fuels crime rates.
Marijuana poses serious health risks.",0.3571485579013824,0.2256009315530727,1.0,0.79,0.35,7.121
0.8,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana has negative effects on the body.
Marijuana impairs cognitive and motor functions.
Marijuana is considered a gateway drug.
Marijuana is addictive and leads to cravings.
Legalizing marijuana poses public health risks.
Marijuana causes significant harm compared to alcohol.
Marijuana negatively impacts adolescent brain development.
Legalizing marijuana increases accessibility and abuse.",0.3720633685588836,0.2426285000635545,0.8,0.8800000000000001,0.3874999999999999,3.824
0.6,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Legalizing marijuana leads to more addicts.
Marijuana negatively affects brain functions.
Marijuana is harmful, not helpful.
Marijuana is a gateway drug.
Marijuana causes sleepiness and hunger.
Young people are negatively affected by marijuana.",0.4145698547363281,0.2197960348089286,0.6,0.75,0.45,31.05557
0.8,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana leads to health issues.
Marijuana contributes to addiction and crime.
Marijuana is a gateway drug.
Marijuana impairs cognitive functions.
Legalizing marijuana may increase drug abuse.
Marijuana negatively impacts memory and motor skills.",0.4196349084377289,0.2564293911093357,0.8,0.8800000000000001,0.3666666666666667,8.85395
0.4,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","The only negative aspect is that it may lead to a increase in drug addicts.
Marijuana also has proven to take a permanent toll on the adolescent brain.",0.2152713239192962,0.1745081925071815,0.6,0.5900000000000001,0.0,13.63084
0.8,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana leads to addiction and abuse.
Marijuana can lead to long-term health issues.
Marijuana impairs memory and motor skills.
Legalizing marijuana may increase drug addicts.
Legalizing marijuana may lead to increased crime.
Marijuana serves as a gateway drug.",0.3785023093223572,0.2256288774105525,1.0,0.82,0.3833333333333333,9.08613
0.8,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana leads to health issues and addiction.
Legalizing marijuana may increase drug abuse.
Marijuana is harmful to cognitive functions.
Marijuana serves as a gateway drug.
Legalizing marijuana could lead to public health concerns.
Marijuana negatively impacts memory and motor skills.",0.3911024928092956,0.2486326653215418,0.6,0.89,0.3333333333333333,5.45048
0.4,marijuana,-1,"Damages our bodies
Responsible for brain damage
If legalized, people will use marijuana and other drugs more
Causes crime
Highly addictive","Marijuana is proven to be a gateway drug into crack cocaine, heroin, opium, etc.
Marijuana also has proven to take a permanent toll on the adolescent brain.
when marijuana disturbs functions centered in the deep control centers, disorienting changes in the mind occur
However, legalizing it will give too much leeway for people to get their hands on it even more.
if we legalize pot there wil be a sharp increase in demand and consumption over a period of time
Sexual functions can also be disturbed.
Marijuana gives people the munchies and Americans are already fat, they don't need to get fatter.",0.3380387425422668,0.202656608818145,0.6,0.6900000000000001,0.4,10.51625
0.5,marijuana,1,"Not addictive
Used as a medicine for its positive effects
Legalized marijuana can be controlled and regulated by the government
Prohibition violates human rights
Does not cause any damage to our bodies","Marijuana is safe/healthy/pain-relief
Legalizing marijuana will reduce black-market/criminal activity
It makes you happy
It should be legalized
The war on drugs is expensive
The sale of marijuana is financially beneficial
People should choose for themselves whether they like it or not
People should decide for themselves whether they harm themselves
A mandatory sentence harms the lives of many young people
Restrictions on drug use can be used to focus on more serious crimes
There have been zero cases of marijuana overdose
Legalizing drugs will make the drug cartels more powerful
It would be better for the economy
Legalization will increase demand for vaporizers
Alcohol purchase is going to black-market/thugs
The government should not be able to control your life
Legalizing marijuana will cause a significant increase in marijuana use
Legalizing marijuana will allow to regulate the industry",0.3968864381313324,0.4302401434089002,0.6,0.9,0.5055555555555555,34.006
0.6,marijuana,1,"Not addictive
Used as a medicine for its positive effects
Legalized marijuana can be controlled and regulated by the government
Prohibition violates human rights
Does not cause any damage to our bodies","Marijuana is relatively harmless and beneficial.
End mandatory sentencing for marijuana to save lives.
Legalizing marijuana would greatly benefit the economy.
Legalizing marijuana would alleviate prison overcrowding.
Marijuana legalization enables taxation and regulation.
Legalizing marijuana would cripple drug cartels economically.
Personal drug use should not be criminalized.
Marijuana has medicinal benefits.
Personal choice should determine marijuana use.
Legalizing marijuana lowers prices and stimulates economy.
Zero deaths from marijuana use.
Marijuana has versatile uses beyond recreational consumption.
Legalizing marijuana reduces schedule 1 drug issues.
Marijuana enhances creativity and concentration.
Marijuana is not addictive like cigarettes or alcohol.
Legalize marijuana, regulate like alcohol for safety.
Marijuana should be decriminalized.
Weed should be legalized like alcohol.
Prohibition promotes more dangerous substances.
Marijuana is safer than alcohol and tobacco.
Frees up police to focus on serious crimes.
Marijuana does not kill brain cells.",0.4692400097846985,0.3340162531679023,0.8,1.0,0.5545454545454545,17.539
0.6,marijuana,1,"Not addictive
Used as a medicine for its positive effects
Legalized marijuana can be controlled and regulated by the government
Prohibition violates human rights
Does not cause any damage to our bodies","Marijuana is safer than alcohol and tobacco.
Marijuana should be decriminalized or legalized.
Marijuana should be legal like alcohol.
Legalizing marijuana reduces drug-related issues.
Marijuana is not as addictive as alcohol or cigarettes.
Legalizing marijuana benefits the economy.
Legalizing marijuana ends destructive mandatory sentencing.
Marijuana has various industrial uses.
Marijuana is less harmful than alcohol and tobacco.
Individual freedom supports marijuana legalization.
Marijuana has medicinal benefits.
Personal use of marijuana should be allowed.
The war on drugs is costly and ineffective.
Legalization of marijuana improves regulation and taxation.
Marijuana has positive effects on creativity and relaxation.
Legalizing drugs enhances security and reduces crime.
Marijuana should be regulated like alcohol.
Legalizing marijuana reduces prison overcrowding.
Prohibition allows more dangerous substances.
Marijuana has brain and health benefits.
No deaths from marijuana overdose.
Respect individual choice regarding marijuana use.
Legalizing marijuana frees up law enforcement resources.",0.4807869791984558,0.3297100383707338,0.8,1.0,0.5130434782608696,9.825
0.6,marijuana,1,"Not addictive
Used as a medicine for its positive effects
Legalized marijuana can be controlled and regulated by the government
Prohibition violates human rights
Does not cause any damage to our bodies","Tax revenue potential.
Less harmful than alcohol.
Medicinal benefits proven.
 Personal freedom and choice.
Supports economic growth and job creation.
No reported deaths from use.
Reduces overcrowding in prisons.
Safer than alcohol and tobacco.
Does not lead to violent behavior.
 Reduces law enforcement costs.
Low risk of addiction.
 No significant increase in use post-legalization.",0.5409529209136963,0.2716379581781082,0.4,0.93,0.45,102.51869
0.3,marijuana,1,"Not addictive
Used as a medicine for its positive effects
Legalized marijuana can be controlled and regulated by the government
Prohibition violates human rights
Does not cause any damage to our bodies","Marijuana is less harmful than alcohol and tobacco.
Marijuana does not cause significant negative effects.
Legalizing marijuana would have economic benefits.
Marijuana has medicinal benefits and is relatively safe.",0.4107868671417236,0.2614448108377912,0.4,0.79,0.25,16.6017
